Abyss_Boss1	79	1
Abyss_Boss1	80	7
Abyss_Boss1	81	3
Abyss_Boss2	79	9
Abyss_Boss2	80	5
Abyss_Boss2	81	3
Abyss_Depths1	55	1
Abyss_Depths1	57	1
Abyss_Depths1	66	1
Abyss_Depths1	68	1
Abyss_Depths1	69	1
Abyss_Depths1	72	2
Abyss_Depths1	73	1
Abyss_Depths1	77	1
Abyss_Depths1	78	1
Abyss_Depths1	79	4
Abyss_Depths1	80	30
Abyss_Depths1	81	9
Abyss_Depths1	82	1
Abyss_Depths2	69	1
Abyss_Depths2	72	1
Abyss_Depths2	73	2
Abyss_Depths2	75	1
Abyss_Depths2	76	3
Abyss_Depths2	77	1
Abyss_Depths2	78	1
Abyss_Depths2	80	24
Abyss_Depths2	81	14
Abyss_Depths2	82	1
Abyss_Depths3	54	1
Abyss_Depths3	66	2
Abyss_Depths3	68	1
Abyss_Depths3	69	3
Abyss_Depths3	72	4
Abyss_Depths3	76	2
Abyss_Depths3	78	1
Abyss_Depths3	79	1
Abyss_Depths3	80	28
Abyss_Depths3	81	3
Abyss_Depths3	82	2
Abyss_Hub	22	103
Abyss_Intro	22	10
Abyss_Pinnacle	79	17
Abyss_Pinnacle	80	17
Abyss_Pinnacle	82	1
BreachDomain_01	78	15
BreachDomain_01	79	1
BreachDomain_01	80	10
BreachDomain_01	81	10
BreachDomain_01	82	576
C_G1_1	45	5
C_G1_11	49	18
C_G1_12	49	1
C_G1_13_1	49	10
C_G1_13_2	50	2
C_G1_14	50	2
C_G1_15	51	17
C_G1_2	45	5
C_G1_3	46	10
C_G1_4	46	6
C_G1_5	47	7
C_G1_6	47	1
C_G1_7	47	12
C_G1_8	48	6
C_G1_9	48	2
C_G1_town	51	26
C_G2_1	51	3
C_G2_10_1	51	3
C_G2_10_2	52	1
C_G2_12_1	57	6
C_G2_12_2	57	5
C_G2_2	52	1
C_G2_3	53	2
C_G2_3a	53	1
C_G2_4_1	54	5
C_G2_4_2	55	2
C_G2_4_3	55	3
C_G2_5_1	53	2
C_G2_5_2	54	2
C_G2_6	55	3
C_G2_7	56	2
C_G2_8	56	7
C_G2_9_1	56	2
C_G2_9_2_	57	3
C_G2_town	57	20
C_G3_1	58	1
C_G3_10_Airlock	60	3
C_G3_11	61	1
C_G3_12	62	7
C_G3_14	62	19
C_G3_16_	63	12
C_G3_17	64	7
C_G3_2_1	59	4
C_G3_2_2	61	10
C_G3_3	58	18
C_G3_4	59	4
C_G3_5	59	2
C_G3_6_1	60	5
C_G3_6_2	60	6
C_G3_7	60	19
C_G3_8	61	1
C_G3_town	64	21
ChayulaLeague	65	14
ChayulaLeague_Tower	70	2
ChayulaLeague_Tower	72	1
ChayulaLeague_Tower	77	2
ChayulaLeague_TowerBoss	78	4
Delirium_Act1Town	78	6
Delirium_Act1Town	80	5
Delirium_Act1Town	82	9
Delirium_Act1Town_Quest	78	1
Delirium_Act1Town_Quest	79	3
Delirium_HungerBoss	67	1
Delirium_HungerBoss	75	1
Delirium_HungerBoss	78	4
Delirium_HungerBoss	79	3
ExpeditionLeagueBoss	78	2
ExpeditionLeagueBoss	80	2
ExpeditionLeagueBoss	82	7
ExpeditionLogBook_Atoll	71	4
ExpeditionLogBook_Atoll	79	7
ExpeditionLogBook_Basin	72	1
ExpeditionLogBook_Basin	73	2
ExpeditionLogBook_Basin	79	2
ExpeditionLogBook_Reef	79	1
ExpeditionLogBook_Tropical	71	2
ExpeditionLogBook_Tropical	72	1
ExpeditionLogBook_Tropical	79	1
ExpeditionLogBook_Tundra	69	1
ExpeditionLogBook_Tundra	79	2
ExpeditionLogBook_Tundra	80	2
ExpeditionLogBook_Tundra	81	1
ExpeditionLogBook_Wastes	78	1
ExpeditionSubArea_Kalguur_Act1	12	1
ExpeditionSubArea_MedvedBoss	75	1
ExpeditionSubArea_MedvedBoss	78	1
ExpeditionSubArea_OlrothBoss	79	1
ExpeditionSubArea_UhtredBoss	79	2
ExpeditionSubArea_VoranaBoss	75	1
ExpeditionSubArea_VoranaBoss	78	1
G_Endgame_Town	65	33
G1_1	1	13
G1_11	10	26
G1_12	11	10
G1_13_1	12	23
G1_13_2	13	17
G1_14	14	16
G1_15	15	52
G1_2	2	20
G1_3	3	16
G1_4	4	34
G1_5	5	23
G1_6	6	20
G1_7	7	33
G1_8	8	3
G1_8	9	8
G1_9	8	6
G1_9	9	10
G1_town	15	112
G2_1	16	28
G2_10_1	17	9
G2_10_2	18	12
G2_12	31	5
G2_12_1	31	16
G2_12_2	32	58
G2_13	22	94
G2_2	19	26
G2_3	20	13
G2_3a	20	8
G2_4_1	21	8
G2_4_1	23	7
G2_4_1	25	5
G2_4_2	22	8
G2_4_2	24	6
G2_4_2	26	3
G2_4_3	23	9
G2_4_3	25	8
G2_5_1	21	4
G2_5_1	24	5
G2_5_1	26	8
G2_5_2	22	1
G2_5_2	25	8
G2_5_2	26	1
G2_5_2	27	11
G2_6	21	8
G2_6	24	4
G2_6	26	13
G2_7	22	4
G2_7	24	6
G2_7	25	1
G2_7	27	14
G2_8	28	27
G2_9_1	29	8
G2_9_2	30	38
G2_town	32	212
G3_1	33	15
G3_10	38	8
G3_10	75	1
G3_10	77	1
G3_10	80	4
G3_10_Airlock	38	35
G3_11	41	23
G3_12	42	29
G3_14	43	75
G3_16	44	38
G3_17	45	33
G3_2_1	35	40
G3_2_2	39	29
G3_3	34	35
G3_4	35	5
G3_5	36	52
G3_6_1	37	28
G3_6_2	38	37
G3_7	36	22
G3_7	40	3
G3_8	40	20
G3_9	41	12
G3_town	44	126
G4_1_1	46	5
G4_1_1	47	2
G4_1_1	48	3
G4_1_1	49	3
G4_1_1	51	4
G4_1_2	47	17
G4_1_2	48	2
G4_1_2	49	3
G4_1_2	50	2
G4_1_2	52	4
G4_10	52	21
G4_11_1a	53	7
G4_11_1b	53	17
G4_11_2	53	29
G4_13	53	10
G4_2_1	46	5
G4_2_1	47	1
G4_2_1	49	1
G4_2_1	50	1
G4_2_1	51	3
G4_2_2	47	9
G4_2_2	48	2
G4_2_2	50	4
G4_2_2	51	3
G4_2_2	52	4
G4_3_1	47	5
G4_3_1	48	6
G4_3_1	50	15
G4_3_1	51	1
G4_3_2	48	8
G4_3_2	49	8
G4_3_2	51	10
G4_4_1	47	2
G4_4_1	48	4
G4_4_1	49	5
G4_4_1	50	1
G4_4_1	51	10
G4_4_2	48	3
G4_4_2	49	9
G4_4_2	50	7
G4_4_2	51	3
G4_4_2	52	5
G4_4_3	51	5
G4_5_1	47	5
G4_5_1	48	1
G4_5_1	49	2
G4_5_1	50	8
G4_5_1	51	9
G4_5_2	48	12
